coin_id,symbol
bitcoin,BTCUSDT
ethereum,ETHUSDT
tether,BUSDUSDT
binance-coin,BNBUSDT
bnb,BNBUSDT
solana,SOLUSDT
ripple,XRPUSDT
cardano,ADAUSDT
dogecoin,DOGEUSDT
litecoin,LTCUSDT
polkadot,DOTUSDT
tron,TRXUSDT
chainlink,LINKUSDT
avalanche-2,AVAXUSDT
stellar,XLMUSDT
uniswap,UNIUSDT
aptos,APTUSDT
hedera-hashgraph,HBARUSDT
arbitrum,ARBUSDT
optimism,OPUSDT
sui,SUIUSDT
pepe,PEPEUSDT
floki,FLOKIUSDT
shiba-inu,SHIBUSDT
the-open-network,TONUSDT
