Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle
TETHER,2025-07-06 23:40:31,1.0003,49.89160907162462,0.0004349878018898856,⏳ Sin señal clara,Bearish,No
ETHEREUM,2025-07-06 23:40:34,2583.51,56.152285467488504,17.05081572137533,⏳ Sin señal clara,Bearish,No
BITCOIN,2025-07-06 23:40:32,109534.91,58.857044580366555,1013.8710943136393,⏳ Sin señal clara,Bearish,No
