Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle
TETHER,2025-07-06 21:53:26,1.0003,49.89160907162462,0.0004349878018898856,⏳ Sin señal clara,Bearish,No
SOLANA,2025-07-06 21:53:30,151.21,51.603193328301515,-0.2836851350506322,⏳ Sin señal clara,Bearish,No
ETHEREUM,2025-07-06 21:53:29,2563.76,54.868953813560715,15.475317145876488,⏳ Sin señal clara,Bearish,No
BITCOIN,2025-07-06 21:53:28,109019.14,57.318859079331574,972.72704872959,⏳ Sin señal clara,Bearish,No
