Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle
TETHER,2025-07-06 21:51:15,1.0003,49.89160907162462,0.0004349878018898856,⏳ Sin señal clara,Bearish,No
ETHEREUM,2025-07-06 21:51:18,2562.75,54.793963258983894,15.394747345306769,⏳ Sin señal clara,Bearish,No
BITCOIN,2025-07-06 21:51:16,108979.79,57.177555517275586,969.5880173905753,⏳ Sin señal clara,Bearish,No
