Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle
TETHER,2025-07-06 22:08:44,1.0003,49.89160907162462,0.0004349878018898856,⏳ Sin señal clara,Bearish,No
ETHEREUM,2025-07-06 22:08:46,2569.5,55.29906641747402,15.933208883768202,⏳ Sin señal clara,Bearish,No
BITCOIN,2025-07-06 22:08:45,109276.0,58.18328098303819,993.2173051398568,⏳ Sin señal clara,Bearish,No
