Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle
TETHER,2025-07-06 23:45:18,1.0003,49.89160907162462,0.0004349878018898856,⏳ Sin señal clara,Bearish,No
ETHEREUM,2025-07-06 23:45:21,2580.33,55.96420826493232,16.797140507700078,⏳ Sin señal clara,Bearish,No
BITCOIN,2025-07-06 23:45:19,109530.75,58.84639064580575,1013.5392424617894,⏳ Sin señal clara,Bearish,No
